Image number, contact, shear_x, shear_y, pose_z, pose_Rx, pose_Ry, shear_Rz 
1, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
2, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
3, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
4, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
5, True, 1.47, 1.50, 1.99, -3.84, -10.82, 0.00 
6, True, -2.60, 0.17, 2.14, -1.38, -18.81, 0.00 
7, True, -2.23, 0.55, 1.98, -1.03, -16.53, 0.00 
8, True, -2.67, 0.45, 2.34, -1.02, -18.82, 0.00 
9, True, 0.65, 0.84, 2.56, 0.80, -1.85, 0.00 
10, True, -2.87, 1.52, 1.61, -2.40, 3.29, 0.00 
