Image number, contact, shear_x, shear_y, pose_z, pose_Rx, pose_Ry, shear_Rz 
1, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
2, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
3, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
4, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
5, True, -0.37, 0.17, 2.03, -0.82, -1.92, 0.00 
6, True, -1.38, -0.81, 2.37, -0.38, -8.88, 0.00 
7, True, -3.34, 0.26, 2.37, 1.23, -3.29, 0.00 
8, True, -3.68, 0.04, 1.88, -0.18, 1.29, 0.00 
9, True, -2.94, 0.09, 2.08, -0.21, -3.58, 0.00 
10, True, -2.87, -0.46, 2.27, -0.17, -4.88, 0.00 
11, True, -3.09, -0.19, 2.21, 0.45, -2.52, 0.00 
12, True, -3.49, 0.20, 1.97, 1.02, 2.20, 0.00 
13, True, -3.39, -0.76, 1.73, -0.13, -0.18, 0.00 
14, True, -2.67, -0.48, 2.08, -1.31, -4.65, 0.00 
15, True, -0.13, 0.43, 1.11, -0.49, -8.15, 0.00 
16, True, -1.75, 2.17, 1.64, -0.34, 3.14, 0.00 
17, True, -1.16, 2.90, 1.48, 0.55, 1.84, 0.00 
