Image number, contact, shear_x, shear_y, pose_z, pose_Rx, pose_Ry, shear_Rz 
1, False, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
2, True, -1.82, 2.29, 1.35, -1.02, 2.47, 0.00 
3, True, -2.23, 1.71, 1.29, -0.59, 3.92, 0.00 
4, True, -2.12, 1.66, 1.27, -0.47, 2.93, 0.00 
5, True, -2.12, 2.23, 1.26, -0.45, 3.12, 0.00 
6, True, -1.89, 2.66, 1.25, -0.13, 2.94, 0.00 
7, True, -1.82, 2.09, 1.26, -0.22, 2.62, 0.00 
8, True, -2.04, 1.95, 1.29, 0.04, 2.39, 0.00 
9, True, -2.09, 2.02, 1.26, 0.67, 2.42, 0.00 
10, True, -2.23, 1.89, 1.22, -0.64, 2.90, 0.00 
11, True, -1.92, 2.00, 1.28, -0.36, 2.85, 0.00 
12, True, -2.26, 1.75, 1.23, 0.43, 2.59, 0.00 
